,system,percent,fkgl,bleu,sari,system,percent,fkgl,bleu,sari,system,percent,fkgl,bleu,sari,system,percent,fkgl,bleu,sari,system,percent,fkgl,bleu,sari,system,percent,fkgl,bleu,sari
30,Dress,10,3.631880000000003,0.2229659999999999,0.27458299999999974,Dress,10,4.010767999999992,0.22323199999999999,0.2744,Dress,10,3.8613049999999993,0.22432599999999986,0.27527400000000024,Dress,10,3.3935099999999996,0.220661,0.27583200000000013,Dress,10,3.5463680000000006,0.223407,0.27522600000000014,Dress,10,4.001253000000002,0.22377300000000006,0.27515300000000004
31,Dress,20,3.1504689999999997,0.21879299999999996,0.2755260000000004,Dress,20,3.912217999999997,0.21928300000000003,0.27517400000000003,Dress,20,3.6103349999999996,0.22126399999999996,0.27681400000000006,Dress,20,2.3247159999999996,0.21419500000000002,0.27798799999999974,Dress,20,2.9638520000000006,0.21965299999999996,0.27675900000000014,Dress,20,3.8912670000000014,0.22009099999999993,0.27660699999999994
32,Dress,30,2.6781420000000016,0.21444900000000003,0.2763819999999997,Dress,30,3.814788000000006,0.21528100000000003,0.27590600000000004,Dress,30,3.3586810000000016,0.21839700000000006,0.2783490000000002,Dress,30,1.9622809999999995,0.20795299999999994,0.2801700000000001,Dress,30,2.691271999999999,0.21569099999999997,0.27831000000000017,Dress,30,3.7828130000000018,0.21642400000000003,0.2779929999999997
33,Dress,40,2.2050540000000023,0.210288,0.2772890000000002,Dress,40,3.7200749999999987,0.21158299999999997,0.2766410000000001,Dress,40,3.106377,0.21557899999999997,0.27990500000000007,Dress,40,1.255382,0.20148500000000003,0.2822319999999998,Dress,40,2.2210370000000004,0.21223099999999995,0.2798360000000002,Dress,40,3.6742510000000004,0.21258199999999994,0.27942099999999975
34,Dress,50,1.7299230000000017,0.2063239999999999,0.27819099999999997,Dress,50,3.6254130000000027,0.20784300000000008,0.277408,Dress,50,2.859248,0.212587,0.2815020000000003,Dress,50,0.5492189999999999,0.19516900000000004,0.284452,Dress,50,1.7482260000000007,0.20825799999999994,0.2813159999999999,Dress,50,3.624070999999998,0.20860399999999998,0.2807999999999998
35,Dress,60,1.6472369999999996,0.20235300000000003,0.27911099999999983,Dress,60,3.5320920000000022,0.20397499999999993,0.27811099999999983,Dress,60,2.6050289999999996,0.20929699999999993,0.2829370000000001,Dress,60,0.2369530000000001,0.1887550000000001,0.28648300000000004,Dress,60,1.6677419999999996,0.204259,0.28282700000000005,Dress,60,3.7362609999999994,0.20509000000000008,0.28225099999999986
36,Dress,70,1.1767049999999983,0.19825100000000004,0.27999000000000024,Dress,70,3.440844000000001,0.20050300000000007,0.27886100000000014,Dress,70,2.359479,0.20646299999999995,0.2845150000000003,Dress,70,-0.45898700000000003,0.182657,0.2885959999999999,Dress,70,1.1957579999999997,0.20030099999999998,0.2843029999999999,Dress,70,3.7116160000000007,0.20145800000000003,0.2835829999999999
37,Dress,80,1.0956060000000003,0.194248,0.28083599999999975,Dress,80,3.7398319999999994,0.19665700000000008,0.27954099999999976,Dress,80,2.1064119999999993,0.20356300000000002,0.2859800000000003,Dress,80,-0.7664080000000001,0.17647100000000004,0.2906070000000003,Dress,80,1.114671,0.19668500000000003,0.28578699999999996,Dress,80,3.6316000000000006,0.19771800000000003,0.285002
38,Dress,90,0.624865,0.19020499999999999,0.28174200000000027,Dress,90,3.650545999999999,0.19295900000000002,0.2802930000000002,Dress,90,1.854737000000001,0.200472,0.28751900000000036,Dress,90,-1.4557859999999996,0.170238,0.29267,Dress,90,0.6377160000000002,0.19290899999999997,0.28720899999999994,Dress,90,3.524841000000001,0.19376400000000008,0.28633400000000014
39,Dress,100,0.5462459999999999,0.18624500000000002,0.2826159999999999,Dress,100,3.5620460000000014,0.18954500000000002,0.2810619999999998,Dress,100,1.603100000000001,0.19739999999999966,0.28900000000000053,Dress,100,-1.755998,0.16404400000000002,0.29469499999999965,Dress,100,0.556013,0.188731,0.2886869999999998,Dress,100,3.4166639999999986,0.190212,0.28779900000000014
40,Dress-Ls,10,3.7283189999999973,0.23299300000000006,0.2672719999999996,Dress-Ls,10,4.107202999999994,0.2333739999999999,0.2670809999999997,Dress-Ls,10,3.957620999999998,0.23425399999999996,0.26792800000000033,Dress-Ls,10,3.4902850000000005,0.23062199999999994,0.26863899999999974,Dress-Ls,10,3.7353089999999987,0.23355700000000001,0.26798600000000034,Dress-Ls,10,4.0978710000000005,0.23374100000000003,0.26790700000000045
41,Dress-Ls,20,3.251743000000002,0.22869499999999993,0.268295,Dress-Ls,20,4.0090540000000034,0.22921099999999994,0.2679750000000003,Dress-Ls,20,3.707726999999998,0.23105,0.2696680000000002,Dress-Ls,20,2.775801,0.2234739999999999,0.2710000000000003,Dress-Ls,20,3.262724,0.22974800000000012,0.26968200000000014,Dress-Ls,20,3.9890019999999997,0.230032,0.26950300000000016
42,Dress-Ls,30,2.775565,0.22425799999999999,0.2693120000000002,Dress-Ls,30,3.9123229999999967,0.22538299999999992,0.2687989999999996,Dress-Ls,30,3.4571669999999988,0.227893,0.27135499999999996,Dress-Ls,30,2.063295,0.21740799999999996,0.27340699999999973,Dress-Ls,30,2.793100000000001,0.22563299999999994,0.271372,Dress-Ls,30,3.888138,0.22608500000000004,0.2710200000000002
43,Dress-Ls,40,2.302440000000002,0.2199510000000001,0.27028899999999967,Dress-Ls,40,3.817666999999998,0.22141299999999994,0.26965100000000014,Dress-Ls,40,3.2102969999999993,0.224846,0.2730419999999998,Dress-Ls,40,1.3602000000000003,0.21045099999999994,0.275705,Dress-Ls,40,2.319832,0.22173299999999999,0.2730659999999998,Dress-Ls,40,3.8433650000000013,0.22226899999999997,0.27259700000000014
44,Dress-Ls,50,1.8286099999999983,0.21573900000000001,0.271297,Dress-Ls,50,3.723638999999998,0.2175209999999999,0.27049699999999993,Dress-Ls,50,2.958221999999998,0.22168899999999991,0.27469799999999994,Dress-Ls,50,0.6560519999999999,0.20373399999999997,0.27798599999999984,Dress-Ls,50,1.848653,0.21780000000000005,0.27470099999999986,Dress-Ls,50,3.9722260000000005,0.2185029999999999,0.27421
45,Dress-Ls,60,1.7450359999999978,0.21166100000000004,0.27231100000000025,Dress-Ls,60,3.6306359999999995,0.2135720000000001,0.2712790000000001,Dress-Ls,60,2.7119519999999993,0.2183009999999999,0.2763539999999997,Dress-Ls,60,0.34131199999999995,0.19714600000000004,0.28036400000000006,Dress-Ls,60,1.7702240000000002,0.21393900000000005,0.27643599999999996,Dress-Ls,60,3.944281999999999,0.214454,0.2757460000000001
46,Dress-Ls,70,1.2757170000000004,0.207573,0.2733189999999997,Dress-Ls,70,3.929720000000003,0.209893,0.27214300000000013,Dress-Ls,70,2.4623120000000003,0.21517299999999998,0.27794199999999963,Dress-Ls,70,-0.354948,0.19075099999999995,0.28256699999999985,Dress-Ls,70,1.296977,0.20974399999999996,0.27800900000000006,Dress-Ls,70,3.8386789999999995,0.21099499999999996,0.27733900000000006
47,Dress-Ls,80,1.1937890000000002,0.20326999999999998,0.2743350000000001,Dress-Ls,80,3.8393089999999996,0.20610600000000004,0.2729679999999999,Dress-Ls,80,2.210214,0.21178700000000003,0.27958799999999967,Dress-Ls,80,-0.658736,0.184017,0.28480700000000025,Dress-Ls,80,1.214563,0.20572099999999988,0.27967099999999984,Dress-Ls,80,3.735809000000001,0.20687099999999992,0.2788800000000001
48,Dress-Ls,90,0.9634759999999999,0.19939299999999996,0.2753220000000002,Dress-Ls,90,3.7498830000000005,0.20223800000000003,0.2737820000000002,Dress-Ls,90,1.9633799999999995,0.20850100000000005,0.2812009999999999,Dress-Ls,90,-1.3509899999999997,0.177593,0.28706899999999963,Dress-Ls,90,0.7405010000000003,0.20165999999999998,0.2813289999999999,Dress-Ls,90,3.636037,0.20292599999999997,0.28047400000000006
49,Dress-Ls,100,0.6464560000000001,0.19524699999999995,0.2762999999999998,Dress-Ls,100,3.6619959999999994,0.19861399999999996,0.2746379999999998,Dress-Ls,100,1.7110000000000023,0.2052000000000001,0.2828000000000007,Dress-Ls,100,-1.647729,0.17097100000000004,0.28920900000000027,Dress-Ls,100,0.6557209999999999,0.197674,0.282873,Dress-Ls,100,3.577257999999999,0.19909799999999994,0.281853
